epoch,loss,mae,val_loss,val_mae
0,0.9966970086097717,0.8594011664390564,0.9641768932342529,0.797231137752533
1,0.9953246116638184,0.8563818335533142,0.9629265666007996,0.7951467037200928
2,0.9942623972892761,0.8552005887031555,0.9608043432235718,0.7938418388366699
3,0.9878396391868591,0.8530455231666565,0.958916425704956,0.7920424342155457
4,0.9827076196670532,0.8507570624351501,0.9532662630081177,0.7896025776863098
5,0.9750012159347534,0.8473453521728516,0.9416877031326294,0.7846010327339172
6,0.9648824334144592,0.8417547345161438,0.9188982844352722,0.7761975526809692
7,0.935636579990387,0.8297211527824402,0.8751653432846069,0.7665210366249084
8,0.9045056104660034,0.8237261176109314,0.8149209022521973,0.7577449083328247
9,0.8619269728660583,0.8000377416610718,0.7445353865623474,0.7273608446121216
10,0.7865236401557922,0.743888258934021,0.6986881494522095,0.7000022530555725
11,0.6629694700241089,0.6665661334991455,0.6650963425636292,0.6779277920722961
12,0.6680067181587219,0.6686937808990479,0.6430611610412598,0.6647483110427856
13,0.6765072345733643,0.6555057764053345,0.6369643211364746,0.6577768325805664
14,0.6162823438644409,0.6418383717536926,0.6362448930740356,0.6763935685157776
15,0.6727079153060913,0.6811410784721375,0.6305275559425354,0.664060115814209
16,0.6334523558616638,0.6541798710823059,0.6177072525024414,0.6563079357147217
17,0.60456383228302,0.6360105872154236,0.5968077778816223,0.644204318523407
18,0.5603619813919067,0.617522656917572,0.5860715508460999,0.634728729724884
19,0.6269182562828064,0.6422791481018066,0.5891318321228027,0.6402559280395508
20,0.61507648229599,0.634917676448822,0.6022281646728516,0.6481850743293762
21,0.5949739813804626,0.6313459873199463,0.6227501034736633,0.6605643630027771
22,0.587294340133667,0.6292713284492493,0.6118444800376892,0.6558818221092224
23,0.5831944942474365,0.6357321739196777,0.59698086977005,0.6481236815452576
24,0.5397906303405762,0.603201150894165,0.581032395362854,0.6395375728607178
25,0.5305800437927246,0.5853171944618225,0.5965849757194519,0.6373859643936157
26,0.5410544276237488,0.6011310815811157,0.5858808755874634,0.6393561959266663
27,0.567997395992279,0.6192625761032104,0.589523196220398,0.643925130367279
28,0.5480859875679016,0.600970447063446,0.6020262241363525,0.6420069932937622
29,0.589107096195221,0.6172361373901367,0.5985589027404785,0.6429598927497864
30,0.551941454410553,0.6116108298301697,0.5987796783447266,0.6406236290931702
31,0.5825805068016052,0.6205810904502869,0.5936306118965149,0.6365487575531006
32,0.5350726246833801,0.5957556366920471,0.6084679365158081,0.643164336681366
33,0.4927801489830017,0.5703063607215881,0.5995070338249207,0.6397808194160461
34,0.5460257530212402,0.5978897213935852,0.5930908918380737,0.6384711861610413
35,0.5932904481887817,0.6326122879981995,0.5941288471221924,0.63863205909729
36,0.5334298014640808,0.5972274541854858,0.5962830185890198,0.6369560956954956
37,0.5370563268661499,0.5992398262023926,0.5871543884277344,0.6398751139640808
38,0.5951253175735474,0.6035467386245728,0.5945889949798584,0.6443877220153809
39,0.5066965818405151,0.5730493664741516,0.611812174320221,0.6475996971130371
